id,ppq,siae,mbp,temperature_lapse_rate,precip_scale_factor,climate,climate_file,climate_modifier_file
M2-E3-10,0.6,3.0,0,6,0.07,paleo,pism_g5000m_MERRA2_1980_2009_TM.nc,arctic_climate_modifier_-10C.nc
M2-E3-8,0.6,3.0,0,6,0.07,paleo,pism_g5000m_MERRA2_1980_2009_TM.nc,arctic_climate_modifier_-8C.nc
M2-E3-6,0.6,3.0,0,6,0.07,paleo,pism_g5000m_MERRA2_1980_2009_TM.nc,arctic_climate_modifier_-6C.nc
M2-E3-4,0.6,3.0,0,6,0.07,paleo,pism_g5000m_MERRA2_1980_2009_TM.nc,arctic_climate_modifier_-4C.nc
M2-E3-2,0.6,3.0,0,6,0.07,paleo,pism_g5000m_MERRA2_1980_2009_TM.nc,arctic_climate_modifier_-2C.nc
M2-E3-0,0.6,3.0,0,6,0.07,paleo,pism_g5000m_MERRA2_1980_2009_TM.nc,arctic_climate_modifier_0C.nc
SNAP-E3-10,0.6,3.0,0,6,0.07,paleo,climate_cru_TS40_historical_1910_2009_TM.nc,arctic_climate_modifier_-10C.nc
SNAP-E3-8,0.6,3.0,0,6,0.07,paleo,climate_cru_TS40_historical_1910_2009_TM.nc,arctic_climate_modifier_-8C.nc
SNAP-E3-6,0.6,3.0,0,6,0.07,paleo,climate_cru_TS40_historical_1910_2009_TM.nc,arctic_climate_modifier_-6C.nc
SNAP-E3-4,0.6,3.0,0,6,0.07,paleo,climate_cru_TS40_historical_1910_2009_TM.nc,arctic_climate_modifier_-4C.nc
SNAP-E3-2,0.6,3.0,0,6,0.07,paleo,climate_cru_TS40_historical_1910_2009_TM.nc,arctic_climate_modifier_-2C.nc
SNAP-E3-0,0.6,3.0,0,6,0.07,paleo,climate_cru_TS40_historical_1910_2009_TM.nc,arctic_climate_modifier_0C.nc
