id,ppq,sia_e,temperature_lapse_rate,refreeze_factor,pdd_factor_ice,pdd_factor_snow,pdd_std_dev,climate,climate_file,climate_modifier_file,anomaly_file,sealevel_modifier_file,input_file
IPSL-CM5A-LR_lgmdeglaciation_ice8_snow5_std5_lr6,0.6,3,6,0.6,8,5,5,lgmdeglaciation,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,grip_johnsen1995_lgm_norm_dT.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc,pism_dSL.nc,../../2023_05_30_lgm/state/akglaciers_g5000m_id_IPSL-CM5A-LR_paleo_ice8_snow5_-20000_0.nc
MIROC-ESM_lgmdeglaciation_ice8_snow5_std5_lr6,0.6,3,6,0.6,8,5,5,lgmdeglaciation,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,grip_johnsen1995_lgm_norm_dT.nc,akglaciers_MIROC-ESM_lgm_historical.nc,pism_dSL.nc,../../2023_05_30_lgm/state/akglaciers_g5000m_id_MIROC-ESM_paleo_ice8_snow5_-20000_0.nc
IPSL-CM5A-LR_lgmdeglaciation_ice8_snow5_std5_lr5.5,0.6,3,5.5,0.6,8,5,5,lgmdeglaciation,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,grip_johnsen1995_lgm_norm_dT.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc,pism_dSL.nc,../../2023_05_30_lgm/state/akglaciers_g5000m_id_IPSL-CM5A-LR_paleo_ice8_snow5_-20000_0.nc
MIROC-ESM_lgmdeglaciation_ice8_snow5_std5_lr5.5,0.6,3,5.5,0.6,8,5,5,lgmdeglaciation,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,grip_johnsen1995_lgm_norm_dT.nc,akglaciers_MIROC-ESM_lgm_historical.nc,pism_dSL.nc,../../2023_05_30_lgm/state/akglaciers_g5000m_id_MIROC-ESM_paleo_ice8_snow5_-20000_0.nc
IPSL-CM5A-LR_lgmdeglaciation_ice8_snow5_std5_lr6.5,0.6,3,6.5,0.6,8,5,5,lgmdeglaciation,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,grip_johnsen1995_lgm_norm_dT.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc,pism_dSL.nc,../../2023_05_30_lgm/state/akglaciers_g5000m_id_IPSL-CM5A-LR_paleo_ice8_snow5_-20000_0.nc
MIROC-ESM_lgmdeglaciation_ice8_snow5_std5_lr6.5,0.6,3,6.5,0.6,8,5,5,lgmdeglaciation,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,grip_johnsen1995_lgm_norm_dT.nc,akglaciers_MIROC-ESM_lgm_historical.nc,pism_dSL.nc,../../2023_05_30_lgm/state/akglaciers_g5000m_id_MIROC-ESM_paleo_ice8_snow5_-20000_0.nc
IPSL-CM5A-LR_lgmdeglaciation_ice8_snow5_std5_lr7,0.6,3,7,0.6,8,5,5,lgmdeglaciation,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,grip_johnsen1995_lgm_norm_dT.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc,pism_dSL.nc,../../2023_05_30_lgm/state/akglaciers_g5000m_id_IPSL-CM5A-LR_paleo_ice8_snow5_-20000_0.nc
MIROC-ESM_lgmdeglaciation_ice8_snow5_std5_lr7,0.6,3,7,0.6,8,5,5,lgmdeglaciation,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,grip_johnsen1995_lgm_norm_dT.nc,akglaciers_MIROC-ESM_lgm_historical.nc,pism_dSL.nc,../../2023_05_30_lgm/state/akglaciers_g5000m_id_MIROC-ESM_paleo_ice8_snow5_-20000_0.nc
IPSL-CM5A-LR_lgmdeglaciation_ice8_snow5_std5_lr7.5,0.6,3,7.5,0.6,8,5,5,lgmdeglaciation,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,grip_johnsen1995_lgm_norm_dT.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc,pism_dSL.nc,../../2023_05_30_lgm/state/akglaciers_g5000m_id_IPSL-CM5A-LR_paleo_ice8_snow5_-20000_0.nc
MIROC-ESM_lgmdeglaciation_ice8_snow5_std5_lr7.5,0.6,3,7.5,0.6,8,5,5,lgmdeglaciation,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,grip_johnsen1995_lgm_norm_dT.nc,akglaciers_MIROC-ESM_lgm_historical.nc,pism_dSL.nc,../../2023_05_30_lgm/state/akglaciers_g5000m_id_MIROC-ESM_paleo_ice8_snow5_-20000_0.nc
