id,ppq,sia_e,temperature_lapse_rate,refreeze_factor,pdd_factor_ice,pdd_factor_snow,pdd_std_dev,climate,climate_file,climate_modifier_file,anomaly_file,sealevel_modifier_file
CESM2-WACCM-FV2_paleo_stdvar,0.6,3,6,0.6,8,5,3.5,paleo,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,climate_modifier_0C_dSL_-130m.nc,akglaciers_CESM2-WACCM-FV2_lgm_historical.nc,climate_modifier_0C_dSL_-130m.nc
CNRM-CM5_paleo_stdvar,0.6,3,6,0.6,8,5,3.5,paleo,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,climate_modifier_0C_dSL_-130m.nc,akglaciers_CNRM-CM5_lgm_historical.nc,climate_modifier_0C_dSL_-130m.nc
GISS-E2-R_paleo_stdvar,0.6,3,6,0.6,8,5,3.5,paleo,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,climate_modifier_0C_dSL_-130m.nc,akglaciers_GISS-E2-R_lgm_historical.nc,climate_modifier_0C_dSL_-130m.nc
INM-CM4_paleo_stdvar,0.6,3,6,0.6,8,5,3.5,paleo,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,climate_modifier_0C_dSL_-130m.nc,akglaciers_INM-CM4_lgm_historical.nc,climate_modifier_0C_dSL_-130m.nc
IPSL-CM5A-LR_paleo_stdvar,0.6,3,6,0.6,8,5,3.5,paleo,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,climate_modifier_0C_dSL_-130m.nc,akglaciers_IPSL-CM5A-LR_lgm_historical.nc,climate_modifier_0C_dSL_-130m.nc
MIROC-ES2L_paleo_stdvar,0.6,3,6,0.6,8,5,3.5,paleo,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,climate_modifier_0C_dSL_-130m.nc,akglaciers_MIROC-ES2L_lgm_historical.nc,climate_modifier_0C_dSL_-130m.nc
MIROC-ESM_paleo_stdvar,0.6,3,6,0.6,8,5,3.5,paleo,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,climate_modifier_0C_dSL_-130m.nc,akglaciers_MIROC-ESM_lgm_historical.nc,climate_modifier_0C_dSL_-130m.nc
MPI-ESM-P_paleo_stdvar,0.6,3,6,0.6,8,5,3.5,paleo,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,climate_modifier_0C_dSL_-130m.nc,akglaciers_MPI-ESM-P_lgm_historical.nc,climate_modifier_0C_dSL_-130m.nc
MPI-ESM1-2-LR_paleo_stdvar,0.6,3,6,0.6,8,5,3.5,paleo,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,climate_modifier_0C_dSL_-130m.nc,akglaciers_MPI-ESM1-2-LR_lgm_historical.nc,climate_modifier_0C_dSL_-130m.nc
MRI-CGCM3_paleo_stdvar,0.6,3,6,0.6,8,5,3.5,paleo,akglaciers_climate_cru_TS40_historical_1980_2004_YMM.nc,climate_modifier_0C_dSL_-130m.nc,akglaciers_MRI-CGCM3_lgm_historical.nc,climate_modifier_0C_dSL_-130m.nc
