id,ppq,siae,temperature_lapse_rate,refreeze_factor,pdd_factor_ice,pdd_factor_snow,pdd_std_dev,climate,climate_file,climate_modifier_file,anomaly_file
CCSM4-0,0.5,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-1,0.5,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-2,0.5,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-3,0.5,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-4,0.5,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-5,0.5,1.5,6,0.5,10.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-6,0.5,1.5,6,0.5,11.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-7,0.5,1.5,6,0.5,11.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-8,0.5,1.5,6,0.5,11.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-9,0.6,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-10,0.6,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-11,0.6,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-12,0.6,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-13,0.6,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-14,0.6,1.5,6,0.5,10.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-15,0.6,1.5,6,0.5,11.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-16,0.6,1.5,6,0.5,11.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CCSM4-17,0.6,1.5,6,0.5,11.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CCSM4_lgm_historical.nc
CNRM-CM5-0,0.5,1.5,6,0.5,9.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-1,0.5,1.5,6,0.5,9.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-2,0.5,1.5,6,0.5,9.5,5,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-3,0.5,1.5,6,0.5,10.5,3,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
CNRM-CM5-4,0.5,1.5,6,0.5,10.5,4,5,paleo,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C_-110m.nc,akglaciers_CNRM-CM5_lgm_historical.nc
