id,ppq,siae,temperature_lapse_rate,refreeze_factor,pdd_factor_ice,pdd_factor_snow,pdd_std_dev,climate,climate_file,climate_modifier_file,anomaly_file
0,0.6,1.5,5,0.4,6,2,4,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
1,0.6,1.5,5,0.4,6,2,6,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
2,0.6,1.5,5,0.4,6,3,4,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
3,0.6,1.5,5,0.4,6,3,6,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
4,0.6,1.5,5,0.4,6,4,4,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
5,0.6,1.5,5,0.4,6,4,6,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
6,0.6,1.5,5,0.4,8,2,4,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
7,0.6,1.5,5,0.4,8,2,6,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
8,0.6,1.5,5,0.4,8,3,4,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
9,0.6,1.5,5,0.4,8,3,6,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
10,0.6,1.5,5,0.4,8,4,4,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
11,0.6,1.5,5,0.4,8,4,6,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
12,0.6,1.5,5,0.4,10,2,4,present,akglaciers_climate_cru_TS40_historical_1980_2005_YMM.nc,climate_modifier_0C.nc,
